id,seatNumber,isReserved,sessionId,userCpf,name,cpf
1,01,0,1,,,
2,02,0,1,,,
3,03,0,1,,,
4,04,0,1,,,
5,05,0,1,,,
6,06,0,1,,,
7,07,0,1,,,
8,08,0,1,,,
9,09,0,1,,,
10,10,0,1,,,
11,11,0,1,,,
12,12,0,1,,,
13,13,0,1,,,
14,14,0,1,,,
15,15,0,1,,,
16,16,0,1,,,
17,17,0,1,,,
18,18,0,1,,,
19,19,0,1,,,
20,20,0,1,,,
21,21,0,1,,,
22,22,0,1,,,
23,23,0,1,,,
24,24,0,1,,,
25,25,0,1,,,
26,26,0,1,,,
27,27,0,1,,,
28,28,0,1,,,
29,29,0,1,,,
30,30,0,1,,,
31,31,0,1,,,
32,32,0,1,,,
33,33,0,1,,,
34,34,0,1,,,
35,35,0,1,,,
36,36,0,1,,,
37,37,0,1,,,
38,38,0,1,,,
39,39,0,1,,,
40,40,0,1,,,
41,41,0,1,,,
42,42,0,1,,,
43,43,0,1,,,
44,44,0,1,,,
45,45,0,1,,,
46,46,0,1,,,
47,47,0,1,,,
48,48,0,1,,,
49,49,0,1,,,
50,50,0,1,,,
51,01,0,2,,,
52,02,0,2,,,
53,03,0,2,,,
54,04,0,2,,,
55,05,0,2,,,
56,06,0,2,,,
57,07,0,2,,,
58,08,0,2,,,
59,09,0,2,,,
60,10,0,2,,,
61,11,0,2,,,
62,12,0,2,,,
63,13,0,2,,,
64,14,0,2,,,
65,15,0,2,,,
66,16,0,2,,,
67,17,0,2,,,
68,18,0,2,,,
69,19,0,2,,,
70,20,0,2,,,
71,21,0,2,,,
72,22,0,2,,,
73,23,0,2,,,
74,24,0,2,,,
75,25,0,2,,,
76,26,0,2,,,
77,27,0,2,,,
78,28,0,2,,,
79,29,0,2,,,
80,30,0,2,,,
81,31,0,2,,,
82,32,0,2,,,
83,33,0,2,,,
84,34,0,2,,,
85,35,0,2,,,
86,36,0,2,,,
87,37,0,2,,,
88,38,0,2,,,
89,39,0,2,,,
90,40,0,2,,,
91,41,0,2,,,
92,42,0,2,,,
93,43,0,2,,,
94,44,0,2,,,
95,45,0,2,,,
96,46,0,2,,,
97,47,0,2,,,
98,48,0,2,,,
99,49,0,2,,,
100,50,0,2,,,
101,01,0,3,,,
102,02,0,3,,,
103,03,0,3,,,
104,04,0,3,,,
105,05,0,3,,,
106,06,0,3,,,
107,07,0,3,,,
108,08,0,3,,,
109,09,0,3,,,
110,10,0,3,,,
111,11,0,3,,,
112,12,0,3,,,
113,13,0,3,,,
114,14,0,3,,,
115,15,0,3,,,
116,16,0,3,,,
117,17,0,3,,,
118,18,0,3,,,
119,19,0,3,,,
120,20,0,3,,,
121,21,0,3,,,
122,22,0,3,,,
123,23,0,3,,,
124,24,0,3,,,
125,25,0,3,,,
126,26,0,3,,,
127,27,0,3,,,
128,28,0,3,,,
129,29,0,3,,,
130,30,0,3,,,
131,31,0,3,,,
132,32,0,3,,,
133,33,0,3,,,
134,34,0,3,,,
135,35,0,3,,,
136,36,0,3,,,
137,37,0,3,,,
138,38,0,3,,,
139,39,0,3,,,
140,40,0,3,,,
141,41,0,3,,,
142,42,0,3,,,
143,43,0,3,,,
144,44,0,3,,,
145,45,0,3,,,
146,46,0,3,,,
147,47,0,3,,,
148,48,0,3,,,
149,49,0,3,,,
150,50,0,3,,,
151,01,0,4,,,
152,02,0,4,,,
153,03,0,4,,,
154,04,0,4,,,
155,05,0,4,,,
156,06,0,4,,,
157,07,0,4,,,
158,08,0,4,,,
159,09,0,4,,,
160,10,0,4,,,
161,11,0,4,,,
162,12,0,4,,,
163,13,0,4,,,
164,14,0,4,,,
165,15,0,4,,,
166,16,0,4,,,
167,17,0,4,,,
168,18,0,4,,,
169,19,0,4,,,
170,20,0,4,,,
171,21,0,4,,,
172,22,0,4,,,
173,23,0,4,,,
174,24,0,4,,,
175,25,0,4,,,
176,26,0,4,,,
177,27,0,4,,,
178,28,0,4,,,
179,29,0,4,,,
180,30,0,4,,,
181,31,0,4,,,
182,32,0,4,,,
183,33,0,4,,,
184,34,0,4,,,
185,35,0,4,,,
186,36,0,4,,,
187,37,0,4,,,
188,38,0,4,,,
189,39,0,4,,,
190,40,0,4,,,
191,41,0,4,,,
192,42,0,4,,,
193,43,0,4,,,
194,44,0,4,,,
195,45,0,4,,,
196,46,0,4,,,
197,47,0,4,,,
198,48,0,4,,,
199,49,0,4,,,
200,50,0,4,,,
201,01,0,5,,,
202,02,0,5,,,
203,03,0,5,,,
204,04,0,5,,,
205,05,0,5,,,
206,06,0,5,,,
207,07,0,5,,,
208,08,0,5,,,
209,09,0,5,,,
210,10,0,5,,,
211,11,0,5,,,
212,12,0,5,,,
213,13,0,5,,,
214,14,0,5,,,
215,15,0,5,,,
216,16,0,5,,,
217,17,0,5,,,
218,18,0,5,,,
219,19,0,5,,,
220,20,0,5,,,
221,21,0,5,,,
222,22,0,5,,,
223,23,0,5,,,
224,24,0,5,,,
225,25,0,5,,,
226,26,0,5,,,
227,27,0,5,,,
228,28,0,5,,,
229,29,0,5,,,
230,30,0,5,,,
231,31,0,5,,,
232,32,0,5,,,
233,33,0,5,,,
234,34,0,5,,,
235,35,0,5,,,
236,36,0,5,,,
237,37,0,5,,,
238,38,0,5,,,
239,39,0,5,,,
240,40,0,5,,,
241,41,0,5,,,
